district,year,month,avg_temp_max,avg_temp_min,sum_precipitation,avg_humidity,sum_sunshine_hours
Masindi,2019,10,25.02,18.12,258.7,87.39,291.87
Mubende,2022,11,24.39,15.81,245.2,88.2,239.12
Mubende,2017,1,29.93,16.19,13.4,54.97,348.15
Kisoro,2023,11,22.01,13.45,122.3,84.27,265.96
Maracha,2023,11,26.93,18.01,148.8,77.6,291.97
Namutumba,2023,11,27.89,18.4,188.5,81.43,289.77
Namutumba,2023,12,29.01,18.78,71.6,77.1,325.1
Mubende,2018,12,25.64,15.83,105.0,80.65,305.01
Mubende,2022,1,28.88,16.52,28.9,58.39,288.37
Mubende,2022,8,25.89,15.65,121.5,75.03,276.34
Pakwach,2023,11,29.69,21.24,204.0,81.3,296.43
Buliisa,2022,12,27.96,21.3,60.5,78.68,314.68
Bugweri,2021,4,25.87,18.57,187.4,85.63,295.09
Kayunga,2018,12,26.87,17.24,92.8,83.81,304.9
Bunyangabu,2023,2,28.65,16.26,68.7,48.79,289.54
Kisoro,2019,11,21.86,13.28,136.1,83.9,280.73
Kisoro,2019,2,23.25,13.59,77.4,76.5,293.01
Kayunga,2019,2,31.32,18.05,22.3,69.04,312.1
Ibanda,2023,6,26.37,16.26,58.9,67.8,293.01
Bugweri,2023,10,28.18,18.55,209.0,80.58,315.62
Maracha,2022,6,26.61,17.34,64.1,71.63,323.78
Maracha,2019,3,32.12,20.75,18.6,47.35,338.64
Kyenjojo,2019,11,25.4,16.07,65.6,79.87,291.08
Kayunga,2023,4,26.65,17.88,194.9,85.33,263.48
Namutumba,2018,12,27.39,18.15,149.3,79.55,320.04
Kayunga,2017,7,26.1,17.18,127.8,84.58,304.19
Kyenjojo,2021,7,28.69,16.65,24.3,58.71,292.74
Sheema,2023,4,25.23,14.33,107.6,80.87,276.47
Mubende,2019,3,29.69,17.54,41.6,63.03,335.85
Kayunga,2023,9,28.95,17.9,116.5,79.9,297.73
Pakwach,2018,5,29.94,22.05,89.8,77.03,316.63
Kyenjojo,2017,10,25.48,15.95,127.4,80.71,331.1
Pakwach,2019,2,36.6,23.52,11.2,49.89,305.18
Bunyangabu,2017,11,24.16,15.55,91.2,70.03,297.43
Kyenjojo,2021,11,26.32,15.89,88.6,76.9,294.1
Kisoro,2018,2,23.58,13.87,73.6,74.25,280.11
Masindi,2018,9,27.55,18.29,75.6,77.43,310.36
Namutumba,2021,10,28.85,18.45,150.2,76.9,319.37
Sheema,2023,10,26.64,14.88,77.1,76.23,303.13
Pakwach,2018,4,29.05,21.85,159.6,80.53,267.02
Sheema,2019,10,24.67,14.8,145.2,81.52,298.75
Kampala,2023,2,27.61,17.75,38.4,72.32,294.84
Kyenjojo,2022,12,24.53,14.97,64.1,81.0,319.99
Namutumba,2017,9,27.41,18.26,186.4,81.43,307.57
Kisoro,2018,3,22.21,13.36,139.4,82.39,275.79
Bunyangabu,2017,5,23.99,15.92,108.0,69.81,343.09
Kyenjojo,2022,10,25.57,15.77,118.0,79.52,321.78
Kyenjojo,2021,9,25.43,16.0,166.5,80.93,296.35
Sheema,2017,2,26.63,14.75,70.0,70.0,299.33
Ntoroko,2018,3,31.01,21.96,79.8,69.06,298.33
Lwengo,2018,9,26.46,16.58,95.3,77.2,319.05
Maracha,2018,3,28.36,19.01,62.1,70.71,294.78
Pakwach,2018,10,30.76,21.85,123.2,77.58,309.5
Maracha,2021,10,27.62,18.04,89.8,74.58,314.87
Namutumba,2021,8,27.5,17.88,109.5,75.03,328.68
Pakwach,2019,12,29.66,21.16,51.8,79.52,318.33
Sheema,2019,8,26.65,15.21,62.3,69.87,311.15
Maracha,2021,11,29.32,18.27,11.4,60.07,321.71
Pakwach,2019,11,29.35,21.52,110.0,82.3,303.22
Bunyangabu,2017,6,26.02,16.64,10.1,55.97,328.95
Maracha,2018,9,27.07,18.08,71.2,74.17,319.13
Kayunga,2017,10,27.05,17.7,115.8,85.94,311.81
Maracha,2019,1,31.67,19.36,1.9,42.87,328.74
Namutumba,2017,6,27.9,18.59,100.2,77.47,325.11
Kisoro,2018,11,22.46,13.09,73.8,81.73,302.51
Pallisa,2022,8,27.2,17.34,174.7,80.35,304.21
Buliisa,2017,11,28.11,21.78,83.3,78.57,307.84
Pakwach,2018,7,30.35,21.04,31.0,68.71,337.67
Pakwach,2018,8,30.33,21.07,79.0,76.23,320.27
Buyende,2022,6,26.9,19.51,60.8,72.57,318.75
Kayunga,2023,10,28.97,18.19,168.5,80.68,318.46
Maracha,2019,12,27.0,18.05,33.4,68.55,320.77
Masindi,2023,1,30.86,17.81,2.2,51.77,343.58
Masindi,2018,7,27.18,17.36,45.4,69.84,325.4
Sheema,2019,11,25.11,14.65,70.1,80.1,289.41
Pallisa,2022,3,33.44,18.98,56.7,63.29,337.09
Kyenjojo,2021,5,25.62,16.2,86.2,78.48,311.1
Kyenjojo,2019,10,24.6,15.78,127.1,84.32,298.38
Namutumba,2021,12,30.14,18.97,39.9,69.06,315.44
Sheema,2023,2,27.65,14.8,20.1,63.86,283.69
Buyende,2022,8,26.2,19.27,183.0,76.0,310.99
Namutumba,2021,7,26.89,17.43,66.1,73.97,325.21
Masindi,2018,5,26.31,17.91,110.5,81.1,313.03
Ntoroko,2018,2,34.78,23.75,18.7,45.18,295.69
Ntoroko,2018,9,31.21,21.22,44.5,67.53,322.3
Buliisa,2017,9,27.52,21.9,107.4,82.7,304.61
Bunyangabu,2017,1,28.21,16.23,12.2,43.19,349.74
Pakwach,2019,6,29.18,21.84,100.7,81.07,288.71
Buyende,2022,2,30.31,20.72,2.5,62.36,303.53
Kyenjojo,2021,10,26.01,16.17,121.6,80.77,297.13
Kyenjojo,2022,7,28.49,16.55,27.6,52.58,274.41
Pallisa,2022,9,28.31,17.5,94.5,79.23,323.82
Masindi,2023,8,29.06,18.32,83.4,70.74,324.63
Pakwach,2018,12,32.94,22.12,34.6,66.32,322.78
Mubende,2023,4,26.09,16.25,116.4,82.03,271.84
Namutumba,2017,11,27.4,17.95,142.4,79.53,310.56
Sheema,2017,7,27.24,15.54,11.9,63.16,297.97
Bunyangabu,2017,3,25.45,16.05,98.7,68.45,338.24
Ntoroko,2018,1,34.96,23.14,0.1,39.35,337.28
Ntoroko,2018,8,30.05,21.03,36.3,68.97,315.79
Sheema,2019,7,26.53,14.17,37.2,69.94,316.7
Kyenjojo,2017,1,29.81,16.64,5.2,46.42,345.59
Maracha,2021,12,29.98,19.29,8.1,51.39,323.29
Kayunga,2023,12,28.58,17.69,73.0,79.68,313.09
Kyenjojo,2021,12,26.99,16.44,49.4,71.13,299.55
Masindi,2018,11,27.69,18.49,89.4,77.1,298.92
Kisoro,2018,5,21.13,14.01,46.6,81.68,320.81
Pallisa,2022,4,29.45,18.69,193.8,76.1,293.54
Buliisa,2017,12,31.04,22.15,0.4,61.29,341.56
Mubende,2023,10,26.93,16.68,157.7,80.06,293.35
Maracha,2021,7,25.27,17.46,81.7,78.06,288.24
Maracha,2019,2,32.32,20.76,3.7,42.11,301.76
Masindi,2018,12,28.12,18.28,42.7,71.84,316.9
Bunyangabu,2018,3,24.26,15.62,174.4,76.23,285.0
Masindi,2023,3,28.61,18.35,170.7,73.68,278.32
Namutumba,2017,1,32.5,18.53,10.4,53.77,348.48
Kyenjojo,2017,2,27.79,16.73,37.2,65.75,298.64
Masindi,2018,2,32.56,19.98,13.5,49.75,299.94
Buyende,2022,11,26.66,20.0,207.5,77.7,291.84
Bunyangabu,2018,10,24.7,15.65,115.7,69.03,308.45
Masindi,2023,9,28.06,18.38,140.6,78.1,296.03
Pallisa,2022,1,31.97,17.65,64.5,58.39,315.2
Kyenjojo,2019,6,25.56,16.42,91.2,78.9,295.69
Lwengo,2018,6,25.93,16.23,27.3,72.1,322.56
Sheema,2019,4,26.08,15.14,150.7,78.57,294.78
Masindi,2023,5,28.6,18.55,93.6,76.84,322.56
Ntoroko,2023,5,30.52,21.35,67.8,72.68,327.47
Buliisa,2019,1,30.81,23.34,1.3,65.87,339.96
Sheema,2019,2,27.51,15.05,28.0,69.39,293.64
Sheema,2017,6,27.35,14.87,1.8,59.5,298.58
Buliisa,2017,8,27.27,21.88,110.5,82.03,335.04
Namutumba,2021,4,26.88,18.59,240.2,83.57,300.34
Buliisa,2019,6,26.94,22.28,133.9,83.13,289.86
Kayunga,2017,1,33.04,17.43,37.6,58.32,351.96
Mubende,2019,12,25.06,16.06,116.8,82.65,301.13
Namutumba,2018,5,26.25,18.19,216.5,84.29,302.56
Kyenjojo,2017,6,27.73,16.54,10.1,64.5,300.51
Pakwach,2018,9,31.27,21.77,101.3,76.43,318.48
Sheema,2017,3,26.7,14.79,92.0,74.0,332.85
Ntoroko,2023,9,30.91,21.34,62.0,71.53,315.34
Pakwach,2019,4,32.8,23.32,67.4,70.6,312.05
Ntoroko,2023,6,30.0,21.12,101.0,72.7,305.61
Namutumba,2018,1,29.17,18.08,36.2,68.32,347.27
Mubende,2023,8,28.38,16.96,63.8,66.55,325.78
Bunyangabu,2018,9,25.82,15.77,63.1,60.1,317.49
Kyenjojo,2017,7,26.49,16.44,45.1,72.58,310.36
Namutumba,2017,4,28.7,19.3,161.0,76.77,319.95
Sheema,2017,4,25.54,15.02,82.7,75.07,326.14
Buyende,2022,7,27.08,19.54,80.6,68.97,327.35
Mubende,2019,2,30.26,17.62,27.7,59.64,297.88
Mubende,2023,12,26.27,16.0,89.2,79.42,310.11
Kyenjojo,2021,4,26.01,16.16,86.4,78.7,310.43
Maracha,2021,3,30.8,20.17,26.9,52.39,333.83
Mubende,2019,6,25.89,16.67,176.3,82.47,296.06
Namutumba,2017,5,27.34,18.75,164.3,81.35,329.07
Maracha,2021,2,32.03,20.39,1.4,29.96,297.88
Kyenjojo,2019,7,26.6,15.94,44.2,74.16,313.13
Bunyangabu,2018,11,24.63,15.64,84.7,70.97,310.05
Pallisa,2022,12,27.97,17.14,91.9,78.42,325.53
Mubende,2023,6,28.1,16.48,66.6,72.73,287.99
Buyende,2022,4,28.9,20.83,179.8,71.17,303.44
Kyenjojo,2019,3,29.93,17.38,15.2,60.71,334.69
Maracha,2018,5,27.21,18.62,81.6,75.29,329.57
Maracha,2019,8,25.82,17.59,141.1,81.84,327.32
Kampala,2023,12,25.7,17.45,92.7,83.81,288.52
Lwengo,2018,4,24.72,16.98,175.9,83.67,257.17
Pallisa,2022,5,28.34,18.18,105.6,79.06,315.46
Kyenjojo,2017,5,25.61,16.34,51.3,76.74,347.14
Pallisa,2022,11,27.48,17.83,199.0,81.93,284.69
Sheema,2023,8,29.06,15.23,16.7,57.65,310.01
Masindi,2018,10,26.85,18.4,141.5,81.19,285.47
Ntoroko,2023,3,31.25,21.42,87.2,66.9,279.87
Kayunga,2023,2,32.43,18.26,47.7,62.07,303.6
Mubende,2019,4,27.33,17.25,128.8,77.57,305.71
Buliisa,2017,2,31.36,23.89,11.0,60.79,313.19
Buliisa,2017,3,31.05,24.13,22.2,65.68,346.29
Namutumba,2021,5,26.35,18.43,168.9,84.1,296.64
Bunyangabu,2018,6,23.39,15.06,49.2,68.73,315.14
Bunyangabu,2018,12,25.05,15.7,63.4,67.39,305.51
Kayunga,2023,1,31.82,16.54,34.4,62.45,347.43
Ntoroko,2018,12,31.77,21.8,51.9,62.77,314.05
Maracha,2021,5,26.37,18.41,148.8,79.55,292.7
Kyenjojo,2019,8,26.76,16.36,118.5,74.77,307.55
Ntoroko,2018,4,28.51,21.3,166.8,78.3,258.32
Kyenjojo,2019,5,27.62,16.92,79.6,76.68,322.99
Maracha,2021,4,28.24,18.93,71.7,71.53,311.31
Buliisa,2019,10,26.27,21.7,209.8,85.35,300.57
Kisoro,2018,10,22.36,13.32,146.6,79.23,291.0
Sheema,2023,12,25.75,14.67,81.1,81.13,312.01
Buliisa,2019,9,27.43,22.23,107.9,83.83,319.28
Namutumba,2018,4,25.7,18.08,281.5,84.63,215.88
Sheema,2017,8,26.37,15.57,62.7,69.52,292.27
Ntoroko,2018,7,30.04,20.47,33.4,62.16,342.26
Pallisa,2022,6,27.74,17.46,51.3,74.87,315.53
Kayunga,2017,2,30.91,18.64,84.7,69.39,305.17
Mubende,2023,11,25.25,16.5,108.5,85.57,247.99
Kyenjojo,2022,8,25.73,15.41,110.7,74.65,296.96
Buliisa,2017,7,27.81,21.89,76.4,78.58,328.46
Mubende,2023,1,28.12,15.44,3.7,60.45,328.71
Buliisa,2019,8,26.96,21.69,153.6,83.26,322.02
Maracha,2018,12,28.77,18.93,30.9,57.97,318.52
Kyenjojo,2019,12,25.52,15.82,92.9,77.13,317.71
Maracha,2018,11,27.81,18.51,59.5,68.33,310.03
Buliisa,2017,10,28.18,22.34,117.9,81.45,328.48
Lwengo,2018,1,28.05,17.26,26.4,68.68,317.63
Lwengo,2018,11,26.33,17.17,118.5,80.4,310.26
Maracha,2019,6,25.94,18.01,158.5,82.53,289.7
Sheema,2019,12,24.46,14.68,134.5,82.94,301.6
Mubende,2019,9,26.05,16.47,118.9,83.27,310.8
Bunyangabu,2017,7,25.55,15.98,41.8,62.26,326.45
Kyenjojo,2019,9,26.36,16.12,107.3,79.47,311.83
Maracha,2018,10,26.78,18.32,103.1,75.84,305.7
Kisoro,2018,8,22.07,13.06,62.6,73.9,278.62
Maracha,2021,6,26.99,18.03,36.5,70.17,323.74
Kyenjojo,2022,1,28.48,16.58,56.4,57.84,299.39
Buyende,2022,3,32.23,21.17,42.5,60.97,339.41
Masindi,2018,8,26.68,17.79,132.8,78.06,308.37
Mubende,2023,2,30.42,16.9,15.7,53.57,275.0
Lwengo,2018,2,28.88,18.31,27.2,66.82,297.97
Ntoroko,2023,7,30.59,20.75,16.4,63.42,337.12
Sheema,2017,11,24.12,13.93,113.5,81.17,302.84
Mubende,2019,11,24.76,16.29,159.2,86.2,280.36
Sheema,2019,9,26.43,14.95,108.3,77.7,302.86
Masindi,2018,4,26.37,18.22,136.7,83.0,265.03
Ntoroko,2023,1,32.38,20.78,0.5,52.03,339.33
Maracha,2018,4,26.79,18.6,115.6,78.1,262.17
Mubende,2019,5,26.48,16.69,81.4,80.77,320.26
Buliisa,2019,12,27.37,21.72,105.0,82.0,311.67
Masindi,2023,2,32.84,19.24,10.9,44.14,298.89
Buliisa,2017,4,30.1,23.8,29.7,69.47,331.97
Ntoroko,2018,11,30.74,21.73,22.9,68.87,316.09
Pakwach,2018,1,35.69,22.03,0.6,41.94,342.23
Maracha,2021,8,26.32,17.67,98.6,77.16,322.81
Kyenjojo,2017,3,27.52,16.64,54.5,72.1,334.05
Lwengo,2018,12,25.66,16.47,104.9,81.06,287.18
Sheema,2019,1,26.25,14.41,35.7,74.81,333.26
Lwengo,2018,8,26.78,16.55,95.0,72.32,319.87
Sheema,2023,6,27.21,14.72,22.2,68.5,299.46
Namutumba,2017,3,29.45,19.26,88.2,74.39,343.76
Sheema,2023,7,28.35,14.43,0.6,50.81,317.47
Bunyangabu,2017,10,25.43,15.75,84.6,67.65,332.34
Ntoroko,2023,11,28.76,21.07,138.7,78.8,266.9
Masindi,2023,4,28.25,18.23,123.9,77.6,280.51
Pakwach,2019,9,30.18,21.68,113.1,81.47,321.52
Pakwach,2019,8,29.23,21.16,103.3,81.55,329.77
Buliisa,2019,5,28.5,22.92,161.1,80.97,323.44
Sheema,2017,1,28.81,14.84,12.1,54.16,341.6
Kayunga,2017,8,26.05,17.34,184.8,86.26,332.77
Namutumba,2021,1,27.86,18.04,76.8,78.0,340.57
Buyende,2022,12,27.19,19.49,83.7,74.84,325.78
Masindi,2018,3,28.24,18.55,102.6,75.71,292.59
Kayunga,2017,5,26.08,17.89,217.2,86.9,320.09
Ntoroko,2018,5,29.43,21.1,105.9,74.29,331.04
Maracha,2019,7,25.99,17.79,127.3,80.52,313.24
Kayunga,2017,9,26.28,17.46,187.7,87.5,288.42
Namutumba,2021,11,29.88,18.53,73.0,71.07,317.52
Namutumba,2018,7,26.33,17.42,90.2,77.61,322.07
Namutumba,2021,2,29.78,18.73,44.0,69.46,296.9
Lwengo,2018,7,26.04,16.84,20.8,62.71,345.31
Namutumba,2021,3,29.71,18.85,101.6,71.94,334.59
Bunyangabu,2018,2,28.56,17.41,36.0,50.32,290.66
Namutumba,2017,8,26.95,18.12,185.4,79.61,332.99
Ntoroko,2023,2,33.89,22.21,3.7,45.18,293.33
Pakwach,2019,7,29.11,21.24,112.5,81.81,319.93
Kampala,2023,6,25.29,17.25,108.3,82.2,303.02
Namutumba,2021,9,27.07,18.23,195.4,82.2,291.9
Kampala,2023,8,25.95,17.16,64.3,78.23,337.05
Kampala,2023,10,26.8,17.91,120.0,81.13,297.08
Kyenjojo,2022,2,29.97,17.16,5.0,53.14,269.84
Sheema,2017,5,25.32,14.71,36.6,73.65,331.49
Sheema,2019,6,25.57,15.12,82.6,77.17,288.34
Kisoro,2018,12,21.48,12.87,178.2,85.0,288.8
Kampala,2023,3,25.28,17.29,199.3,81.74,274.65
Buliisa,2019,2,31.86,23.94,14.0,62.32,307.34
Buyende,2022,1,30.85,20.29,38.5,55.55,319.83
Namutumba,2017,7,26.93,17.98,137.8,79.74,324.23
Kyenjojo,2017,9,25.14,16.06,131.1,81.0,296.72
Namutumba,2018,2,32.3,19.79,47.8,60.25,310.1
Pallisa,2022,7,28.2,17.6,80.4,71.13,321.52
Kayunga,2023,7,29.57,17.09,47.1,69.58,339.22
Sheema,2023,9,27.44,15.02,101.8,75.77,294.91
Sheema,2023,11,24.96,14.87,101.4,83.03,268.11
Bunyangabu,2017,2,26.12,16.13,87.4,62.07,303.07
Ntoroko,2023,8,31.14,21.55,49.3,67.84,335.47
Sheema,2017,10,25.64,14.55,83.9,79.87,320.93
Kyenjojo,2022,3,30.4,17.37,42.3,57.77,318.28
Kayunga,2017,3,28.98,18.63,110.6,77.32,333.9
Kyenjojo,2017,12,28.06,16.15,3.3,60.68,329.76
Masindi,2023,7,29.34,18.02,25.0,64.71,333.77
Kisoro,2018,4,21.28,13.94,210.7,84.97,229.19
Kampala,2023,7,25.49,16.81,30.5,73.87,338.67
Kyenjojo,2022,5,26.63,16.22,80.9,76.1,310.02
Pakwach,2019,1,36.16,23.23,4.0,52.45,336.15
Namutumba,2018,6,25.97,17.57,134.0,82.67,297.4
Maracha,2021,1,30.07,19.26,5.6,44.74,331.67
Kyenjojo,2017,4,26.63,16.94,64.3,73.23,327.86
Kayunga,2017,11,26.2,17.12,123.0,87.1,297.75
Buliisa,2019,7,27.13,21.67,123.0,83.06,323.9
Bunyangabu,2018,5,23.09,15.34,79.5,75.48,322.55
Kayunga,2023,6,28.36,17.62,80.6,80.1,302.54
Namutumba,2018,8,26.97,17.43,101.8,79.81,313.99
Buliisa,2017,1,32.9,22.58,0.0,46.97,350.32
Pakwach,2019,5,30.62,22.47,114.1,78.97,321.31
Namutumba,2018,9,27.74,17.9,108.6,79.5,316.17
Sheema,2019,5,25.14,15.01,89.5,80.94,322.65
Kampala,2023,11,25.33,17.71,299.3,86.23,254.2
Maracha,2019,11,26.23,18.15,71.3,77.57,302.6
Kampala,2023,1,26.88,16.22,33.8,72.74,345.76
Sheema,2023,1,25.93,13.45,22.2,69.52,331.55
Bunyangabu,2017,4,24.96,16.7,87.3,64.87,327.2
Maracha,2018,2,32.35,20.66,15.3,42.36,284.16
Maracha,2021,9,26.14,17.76,109.9,81.23,291.55
Buyende,2022,5,27.63,20.25,91.8,75.74,325.48
Kayunga,2017,12,28.21,16.77,62.1,79.19,336.47
Buliisa,2019,4,29.86,23.85,95.1,74.83,316.15
Kisoro,2018,7,21.95,12.8,18.5,66.39,314.88
Masindi,2023,6,27.71,18.33,129.7,78.1,287.78
Pakwach,2019,10,28.22,21.31,213.7,85.39,294.82
Lwengo,2018,3,26.68,17.26,147.0,79.68,287.09
Ntoroko,2018,6,28.41,20.43,51.2,72.77,316.64
Kyenjojo,2021,8,27.37,16.03,82.0,69.13,324.23
Bunyangabu,2017,12,27.46,16.46,9.0,49.23,341.44
Mubende,2019,7,26.26,16.12,84.5,78.32,302.65
Namutumba,2018,10,27.78,18.2,136.7,79.74,322.1
Kampala,2023,9,26.64,17.3,94.8,81.8,313.14
Maracha,2018,7,26.57,17.45,53.4,70.87,334.55
Namutumba,2018,11,27.98,18.5,149.7,79.1,313.39
Pakwach,2018,11,31.98,21.96,91.5,73.73,312.69
Kyenjojo,2022,11,23.88,15.63,197.6,86.6,246.42
Buyende,2022,9,26.95,19.95,101.0,75.33,327.77
Maracha,2018,1,31.43,20.0,0.0,27.74,332.16
Masindi,2023,10,27.75,18.59,206.2,80.74,292.59
Sheema,2017,12,25.81,14.33,23.8,71.58,335.02
Kyenjojo,2019,1,28.28,16.46,18.8,65.48,332.61
Kyenjojo,2019,2,29.99,17.7,21.3,56.96,291.05
Ntoroko,2023,4,29.98,20.99,107.7,74.3,292.16
Kayunga,2023,3,27.88,17.56,144.6,79.71,280.25
Mubende,2019,10,24.26,16.27,197.9,87.39,286.49
Bunyangabu,2018,8,25.16,15.83,52.5,63.19,299.33
Sheema,2019,3,27.47,15.14,55.2,71.45,329.94
Kyenjojo,2021,1,28.92,16.94,17.3,58.29,307.8
Masindi,2018,6,26.17,17.43,80.9,78.47,303.64
Kyenjojo,2021,6,28.52,16.4,13.5,59.13,315.44
Kisoro,2018,9,22.87,12.59,56.5,76.67,309.53
Kayunga,2017,4,27.41,18.75,160.6,82.03,307.93
Maracha,2019,4,29.78,20.07,67.3,66.17,319.6
Kisoro,2018,1,21.77,13.69,32.6,74.35,285.78
Kayunga,2023,5,27.95,17.7,72.3,82.77,330.24
Kayunga,2023,11,27.46,18.11,208.6,85.1,279.28
Ntoroko,2018,10,30.72,21.72,56.5,69.65,322.04
Masindi,2023,11,27.27,18.31,205.5,81.9,274.31
Buliisa,2019,3,31.73,24.19,13.2,63.03,347.75
Kyenjojo,2017,8,25.41,16.44,88.9,76.81,311.07
Mubende,2019,1,28.65,16.64,19.2,66.68,334.44
Mubende,2019,8,26.51,16.51,120.1,78.0,310.68
Mubende,2023,7,29.33,16.27,18.8,57.94,321.81
Mubende,2023,9,27.97,16.34,116.3,77.8,301.25
Buliisa,2019,11,27.27,22.14,108.3,83.6,292.53
Bunyangabu,2018,7,25.43,15.56,21.2,53.97,342.83
Maracha,2019,10,25.31,17.74,216.3,84.97,311.85
Namutumba,2017,2,30.65,19.22,93.1,66.5,313.59
Kampala,2023,4,24.42,17.87,211.9,84.9,241.9
Namutumba,2021,6,26.69,17.83,79.2,78.0,321.91
Namutumba,2017,12,29.43,18.51,37.8,70.58,339.89
Pallisa,2022,2,32.15,18.57,25.0,63.79,302.5
Sheema,2023,3,25.14,14.85,150.5,80.84,278.33
Kisoro,2018,6,21.67,13.15,19.9,71.97,318.22
Kyenjojo,2021,2,30.24,17.79,11.2,50.86,284.66
Kyenjojo,2022,9,25.34,15.41,132.7,81.77,291.32
Kyenjojo,2017,11,24.65,15.61,117.9,80.9,297.97
Buyende,2022,10,28.57,20.5,103.1,69.29,327.98
Sheema,2017,9,25.49,14.84,119.6,79.53,290.34
Masindi,2018,1,31.13,18.43,4.5,45.45,341.32
Buliisa,2017,6,28.92,22.67,31.1,73.67,329.2
Kayunga,2017,6,26.45,17.48,109.1,85.93,315.49
Namutumba,2018,3,27.68,18.32,206.5,79.97,292.09
Pakwach,2019,3,35.95,23.26,38.9,57.1,343.44
Bunyangabu,2017,8,25.16,16.28,60.0,65.23,314.53
Buliisa,2017,5,28.43,22.99,55.5,77.55,344.06
Bunyangabu,2018,4,22.75,15.45,205.2,80.97,252.44
Masindi,2023,12,28.48,18.29,42.1,72.03,330.8
Ntoroko,2023,12,31.35,21.51,23.2,67.55,333.87
Pakwach,2018,2,36.37,23.63,12.2,47.96,290.55
Pakwach,2018,3,30.73,22.21,67.7,76.58,293.19
Bunyangabu,2017,9,24.98,15.68,76.9,68.43,302.92
Lwengo,2018,10,26.33,17.15,118.2,77.87,301.15
Maracha,2019,5,27.56,19.21,86.6,77.58,323.42
Kyenjojo,2022,6,27.04,15.53,21.9,65.07,309.59
Maracha,2018,6,25.7,17.78,90.4,77.8,280.73
Pallisa,2022,10,29.97,17.85,117.1,73.42,318.71
Mubende,2023,3,27.33,16.33,120.3,75.68,272.34
Mubende,2023,5,28.1,16.56,74.4,74.48,314.55
Pakwach,2018,6,29.15,21.25,104.3,78.53,301.42
Kayunga,2023,8,29.37,17.72,82.3,73.42,335.1
Maracha,2018,8,26.11,17.45,138.6,78.55,315.22
Maracha,2019,9,26.63,17.88,156.6,81.13,318.13
Kyenjojo,2022,4,26.91,16.4,98.3,76.27,275.77
Kyenjojo,2019,4,27.71,17.15,84.5,74.13,316.6
Sheema,2023,5,26.24,14.51,55.9,76.03,320.17
Lwengo,2018,5,24.69,16.72,59.3,80.94,308.01
Bunyangabu,2018,1,27.67,15.75,30.3,49.68,324.16
Kyenjojo,2021,3,27.98,17.02,72.4,68.65,313.87
Namutumba,2017,10,28.15,18.4,130.8,78.68,327.82
Kampala,2023,5,25.32,17.59,98.3,83.19,327.43
Ntoroko,2023,10,30.25,21.51,93.6,72.87,296.58
Ntoroko,2017,12,34.07,22.43,4.0,46.1,344.55
Kayunga,2021,12,29.75,17.97,85.2,74.81,306.8
Buliisa,2021,4,28.71,22.99,73.1,75.17,315.32
Lwengo,2022,10,27.68,16.9,68.9,72.52,326.17
Masaka,2018,12,25.84,17.07,124.1,82.26,276.37
Lwengo,2022,1,28.34,17.15,19.0,66.55,296.85
Sheema,2018,5,24.28,14.21,69.5,79.77,327.39
Ntoroko,2017,8,29.44,21.55,66.0,71.06,320.48
Lwengo,2017,4,26.36,17.75,77.5,76.27,308.81
Buyende,2019,5,27.05,20.91,193.4,80.35,308.57
Maracha,2017,8,25.85,17.7,175.8,79.32,330.17
Mubende,2021,12,27.14,16.5,96.2,74.0,310.3
Masaka,2023,9,27.69,17.68,53.7,75.73,298.3
Kabarole,2017,4,25.0,17.13,90.5,68.47,331.39
Lwengo,2022,9,26.67,16.41,103.3,77.5,301.63
Ibanda,2017,9,25.09,16.22,100.7,75.1,287.27
Masaka,2022,5,25.65,17.04,65.2,80.39,310.95
Maracha,2017,9,26.62,17.85,137.6,80.0,301.26
Masaka,2023,3,27.12,17.61,110.2,75.94,260.59
Buyende,2023,5,28.1,20.52,78.8,74.58,338.05
Kabarole,2017,10,24.37,15.54,100.1,78.74,336.55
Ibanda,2019,6,24.61,16.1,138.8,77.03,280.14
Kayunga,2021,5,25.54,17.28,136.5,87.94,295.48
Masaka,2021,2,28.17,18.23,53.3,70.61,284.74
Ntoroko,2022,2,33.96,22.57,0.3,46.21,275.51
Masaka,2022,1,28.64,17.52,30.0,66.87,297.24
Lwengo,2017,12,26.7,17.18,35.6,76.61,327.3
Buyende,2023,4,27.87,20.57,199.4,75.77,285.11
Bunyangabu,2019,6,24.75,16.09,31.7,66.9,300.6
Buliisa,2021,2,31.5,23.15,15.6,54.14,306.18
Masaka,2023,2,29.77,18.36,42.1,63.04,283.38
Masaka,2018,10,26.05,17.59,134.3,79.48,289.96
Ntoroko,2017,7,29.81,21.37,49.0,70.26,321.7
Ibanda,2019,4,26.35,16.94,98.1,72.53,298.97
Masaka,2021,6,25.29,16.87,30.8,72.23,326.24
Ibanda,2022,2,27.93,16.8,10.3,58.61,257.89
Pallisa,2023,1,30.94,16.88,7.1,63.1,346.5
Sheema,2021,1,25.4,14.39,60.4,75.32,308.43
Ntoroko,2017,4,32.8,22.99,71.7,60.23,330.54
Ntoroko,2022,5,30.02,20.94,113.0,74.65,327.25
Kyenjojo,2018,10,25.07,16.23,133.3,81.29,304.48
Masaka,2019,12,25.53,17.06,114.3,82.71,310.74
Alebtong,2022,9,29.25,17.7,89.2,69.7,324.94
Masindi,2022,12,27.42,17.2,51.3,73.42,319.76
